Time profiles of Raltegravir for Healthy adults 400mg sd.;;;
;;;
Raltegravir [µg/l];;;
Time [h];5^{th} percentile;median;95^{th} percentile
0;0;0;0
0.05;2.51;10.6;55
0.1;34.3;126;453
0.15;117;397;1.12e+03
0.2;244;776;1.95e+03
0.25;408;1.23e+03;2.79e+03
0.3;598;1.71e+03;3.63e+03
0.35;816;2.18e+03;4.25e+03
0.4;1.04e+03;2.61e+03;4.59e+03
0.45;1.27e+03;2.95e+03;4.81e+03
0.5;1.49e+03;3.21e+03;5e+03
0.55;1.7e+03;3.43e+03;5.14e+03
0.6;1.88e+03;3.58e+03;5.21e+03
0.65;2.04e+03;3.68e+03;5.28e+03
0.7;2.17e+03;3.7e+03;5.31e+03
0.75;2.26e+03;3.69e+03;5.23e+03
0.8;2.3e+03;3.64e+03;5.13e+03
0.85;2.37e+03;3.57e+03;5e+03
0.9;2.41e+03;3.5e+03;4.88e+03
0.95;2.33e+03;3.39e+03;4.75e+03
1;2.23e+03;3.33e+03;4.61e+03
1.05;2.18e+03;3.2e+03;4.48e+03
1.1;2.09e+03;3.11e+03;4.36e+03
1.15;2e+03;2.99e+03;4.21e+03
1.2;1.94e+03;2.89e+03;4.09e+03
1.25;1.87e+03;2.83e+03;3.98e+03
1.3;1.83e+03;2.76e+03;3.86e+03
1.35;1.79e+03;2.67e+03;3.74e+03
1.4;1.74e+03;2.58e+03;3.62e+03
1.45;1.69e+03;2.5e+03;3.51e+03
1.5;1.61e+03;2.43e+03;3.4e+03
1.55;1.54e+03;2.35e+03;3.3e+03
1.6;1.46e+03;2.28e+03;3.2e+03
1.65;1.4e+03;2.2e+03;3.13e+03
1.7;1.33e+03;2.14e+03;3.06e+03
1.75;1.27e+03;2.07e+03;2.99e+03
1.8;1.22e+03;2.01e+03;2.93e+03
1.85;1.16e+03;1.95e+03;2.86e+03
1.9;1.11e+03;1.9e+03;2.79e+03
1.95;1.07e+03;1.85e+03;2.73e+03
2;1.02e+03;1.8e+03;2.68e+03
2.25;858;1.55e+03;2.39e+03
2.5;732;1.33e+03;2.14e+03
2.75;636;1.16e+03;1.92e+03
3;555;1.01e+03;1.74e+03
3.25;483;900;1.58e+03
3.5;424;812;1.44e+03
3.75;374;740;1.31e+03
4;331;669;1.19e+03
4.25;295;609;1.09e+03
4.5;265;552;1e+03
4.75;238;498;921
5;216;453;851
5.25;197;416;788
5.5;182;383;731
5.75;168;353;679
6;156;326;632
6.25;145;302;589
6.5;135;283;550
6.75;126;263;514
7;119;245;482
7.25;112;231;452
7.5;106;216;425
7.75;100;203;400
8;95.4;192;378
8.25;90.9;181;360
8.5;86.8;172;346
8.75;82.8;163;333
9;79.2;155;322
9.25;75.9;147;309
9.5;72.8;141;298
9.75;69.8;136;290
10;67;131;278
10.3;64.3;126;266
10.5;61.9;121;255
10.8;59.6;116;245
11;57.5;112;235
11.3;55.5;108;230
11.5;53.7;104;223
11.8;52;100;214
12;50.7;96.6;207
12.3;49.4;93.6;199
12.5;48.2;90.8;193
12.8;47.1;88.2;189
13;46;85.9;187
13.3;45;83.6;187
13.5;44;81.2;187
13.8;43.1;78.9;186
14;42.2;76.7;182
14.3;41.3;74.5;178
14.5;40.4;72.5;175
14.8;39.5;70.5;171
15;38.7;68.4;168
15.3;37.9;66.4;167
15.5;37.2;64.5;165
15.8;36.5;62.7;163
16;35.8;61.1;161
16.3;35.1;59.6;158
16.5;34.5;58.4;156
16.8;33.9;57.2;154
17;33.3;56.1;152
17.3;32.7;55;150
17.5;32.1;53.8;147
17.8;31.4;52.6;145
18;30.8;51.5;144
18.3;30.2;50.5;143
18.5;29.7;49.4;142
18.8;29.2;48.4;141
19;28.7;47.5;140
19.3;28.3;46.6;139
19.5;27.9;45.8;137
19.8;27.5;44.9;136
20;27;44.1;135
20.3;26.6;43.1;134
20.5;26.3;42.2;133
20.8;25.9;41.3;130
21;25.5;40.4;128
21.3;25;39.6;125
21.5;24.4;38.9;122
21.8;23.9;38.1;120
22;23.5;37.4;117
22.3;23;36.7;115
22.5;22.5;36;112
22.8;22.1;35.3;110
23;21.7;34.7;107
23.3;21.2;34.1;105
23.5;20.8;33.6;103
23.8;20.4;33.1;101
24;20;32.6;100
